"class","word","total_count","doc_count","mean_tfidf"
"ADHD comparison posts","kaiser",109,47,0.320310197930097
"ADHD comparison posts","tics",109,59,0.271384382753432
"ADHD comparison posts","focalin",173,103,0.239234225732845
"ADHD comparison posts","guanfacine",105,68,0.225521983825886
"ADHD comparison posts","blah",105,44,0.215256918587114
"ADHD comparison posts","cerebral",104,66,0.207636592222504
"ADHD comparison posts","straterra",149,92,0.205317191641794
"ADHD comparison posts","thread",152,139,0.203282543672334
"ADHD comparison posts","dexedrine",201,114,0.198904977750081
"ADHD comparison posts","coach",135,90,0.194582872223828
"ADHD comparison posts","hyperfixations",140,94,0.194234220058355
"ADHD comparison posts","protein",110,70,0.187023087337468
"ADHD comparison posts","dextroamphetamine",126,77,0.186712897901531
"ADHD comparison posts","adderal",135,100,0.185145467229872
"ADHD comparison posts","atomoxetine",149,99,0.184915267638998
"ADHD comparison posts","nicotine",110,63,0.184095261750029
"ADHD comparison posts","strattera",862,447,0.179333060189637
"ADHD comparison posts","planner",173,106,0.178652257218943
"ADHD comparison posts","hyperfixation",242,158,0.178163640289397
"ADHD comparison posts","vitamin",110,69,0.174874211367435
"Depression-related posts","kms",100,74,0.331286469423917
"Depression-related posts","chat",118,103,0.32678116557381
"Depression-related posts","blah",103,36,0.30537504844964
"Depression-related posts","prozac",104,69,0.301924439591242
"Depression-related posts","zoloft",106,80,0.216167721324688
"Depression-related posts","wellbutrin",125,79,0.213585241331301
"Depression-related posts","antidepressant",106,89,0.211209572744673
"Depression-related posts","hug",176,140,0.199710902358738
"Depression-related posts","drowning",104,99,0.197245206884877
"Depression-related posts","lexapro",110,82,0.196372865378262
"Depression-related posts","rid",111,104,0.191517821706504
"Depression-related posts","belong",141,118,0.182897321192268
"Depression-related posts","ward",106,87,0.180899950538725
"Depression-related posts","holidays",196,161,0.176416696063036
"Depression-related posts","harming",116,111,0.17558366375545
"Depression-related posts","loser",260,205,0.174589199695768
"Depression-related posts","cutting",210,182,0.174477039491821
"Depression-related posts","sober",109,88,0.171970563641819
"Depression-related posts","faking",116,98,0.171844101928904
"Depression-related posts","yall",114,100,0.171634986287446
