"class","word","n"
"ADHD comparison posts","feel",16939
"ADHD comparison posts","time",15415
"ADHD comparison posts","day",9536
"ADHD comparison posts","people",8957
"ADHD comparison posts","life",8620
"ADHD comparison posts","meds",7208
"ADHD comparison posts","medication",7105
"ADHD comparison posts","diagnosed",6514
"ADHD comparison posts","lot",5788
"ADHD comparison posts","school",5781
"ADHD comparison posts","started",5352
"ADHD comparison posts","taking",5231
"ADHD comparison posts","anxiety",4763
"ADHD comparison posts","adderall",4570
"ADHD comparison posts","focus",4457
"ADHD comparison posts","hard",4419
"ADHD comparison posts","days",4392
"ADHD comparison posts","feeling",4371
"ADHD comparison posts","brain",4048
"ADHD comparison posts","start",3973
"Depression-related posts","feel",16880
"Depression-related posts","life",11150
"Depression-related posts","time",8149
"Depression-related posts","people",7191
"Depression-related posts","friends",5242
"Depression-related posts","day",5170
"Depression-related posts","anymore",4251
"Depression-related posts","feeling",3944
"Depression-related posts","family",3365
"Depression-related posts","bad",3298
"Depression-related posts","hate",3251
"Depression-related posts","school",3217
"Depression-related posts","happy",3118
"Depression-related posts","talk",2921
"Depression-related posts","love",2900
"Depression-related posts","hard",2718
"Depression-related posts","fucking",2703
"Depression-related posts","job",2646
"Depression-related posts","live",2637
"Depression-related posts","tired",2609
